Gene,mut.rate,dn.LoF,case.LoF,ctrl.LoF,trans.LoF,ntrans.LoF,dn.mis3,case.mis3,ctrl.mis3,trans.mis3,ntrans.mis3,BF.dn,BF,qvalue.dn,qvalue,pval.TADA
MTMR9,2.24E-05,0,0,0,0,2,0,2,8,5,3,0.77434083,0.422234052,0.929985951,0.938868213,0.721773152
GPR37L1,2.26E-05,0,0,2,0,0,0,3,5,6,5,0.77206938,0.422228843,0.93018098,0.938870798,0.721774753
C3orf38,1.25E-05,0,1,4,0,0,0,1,4,0,2,0.866081906,0.422206414,0.913129764,0.938873382,0.721796637
IKZF3,2.31E-05,0,0,0,0,0,0,2,14,7,4,0.767981659,0.422140259,0.93053344,0.938875967,0.7218751
HELT,2.34E-05,0,0,0,0,0,0,1,5,0,0,0.765384782,0.422071751,0.930762022,0.938878551,0.721981318
ZBTB2,2.34E-05,0,0,0,0,0,0,0,4,1,1,0.765384782,0.422071751,0.930771031,0.938881136,0.721981318
NEURL1B,2.24E-05,0,0,0,0,0,0,0,0,0,0,0.774165846,0.422064488,0.930002916,0.938883719,0.722043235
EIF3L,2.37E-05,0,0,0,0,0,0,0,6,0,1,0.763314154,0.42203767,0.930916388,0.938886303,0.722100881
ABTB2,4.69E-05,0,0,1,0,0,0,3,13,6,4,0.588875989,0.422036232,0.937857083,0.938888886,0.722106752
IRX3,2.33E-05,0,0,0,0,0,0,1,3,2,1,0.766076347,0.421976513,0.930707872,0.938891469,0.722257806
ALDH1A3,2.39E-05,0,0,0,0,0,0,2,12,0,3,0.761507351,0.421968798,0.931071201,0.938894051,0.722267414
PTPN9,2.25E-05,0,0,2,0,0,0,3,12,2,3,0.773291567,0.421965338,0.930087508,0.938896634,0.722271684
FZD4,2.36E-05,0,0,0,0,0,0,1,9,1,2,0.764003686,0.421930407,0.930859094,0.938899216,0.722327195
PRB2,1.25E-05,0,1,3,0,1,0,0,0,0,1,0.865884265,0.421918336,0.913218157,0.938901797,0.72238751
NTRK2,2.33E-05,0,0,0,0,0,0,1,3,4,4,0.766162841,0.421906759,0.930706064,0.938904379,0.722419536
CHRM1,2.34E-05,0,0,0,0,0,0,0,0,2,1,0.76555761,0.421897423,0.930749403,0.93890696,0.722440886
XRCC6,2.34E-05,0,0,0,0,0,0,0,3,1,0,0.765384782,0.421868456,0.93076923,0.93890954,0.722476114
PRB3,1.26E-05,0,1,4,0,0,0,0,4,0,0,0.864896791,0.421836903,0.91354723,0.938912121,0.722497465
STON1,2.38E-05,0,0,0,0,0,0,0,9,0,0,0.761679227,0.421817582,0.931062342,0.938914701,0.722544969
LIPF,1.26E-05,0,1,3,0,1,0,0,3,4,1,0.865785462,0.421558559,0.913269956,0.938917282,0.722922338
ATP5B,2.35E-05,0,0,0,0,0,0,0,1,2,0,0.764866553,0.421516583,0.930803427,0.938919863,0.722982653
MAPK6,2.34E-05,0,0,0,0,0,0,1,4,3,2,0.765384782,0.421475236,0.930765627,0.938922444,0.723036029
ANKRD13C,2.35E-05,0,0,0,0,0,0,0,5,2,1,0.764780219,0.421439085,0.930808821,0.938925024,0.723105951
GPR20,2.35E-05,0,0,0,0,0,0,2,7,6,4,0.765039254,0.421427822,0.930792636,0.938927604,0.723125167
RCBTB1,2.25E-05,0,0,1,0,1,0,5,10,3,4,0.773291567,0.42141417,0.930089382,0.938930184,0.72313691
FLRT3,2.34E-05,0,0,0,0,0,0,0,3,3,3,0.76512562,0.421377965,0.930780036,0.938932763,0.723206832
EOMES,2.34E-05,0,0,0,0,0,0,4,10,2,5,0.76573048,0.421348016,0.930738579,0.938935343,0.723246864
CXorf23,2.36E-05,0,0,0,0,0,0,0,1,0,0,0.764003686,0.421277174,0.930857301,0.938937922,0.723316253
EGFL6,2.29E-05,0,0,2,0,0,0,0,6,0,0,0.769631301,0.421273073,0.930412463,0.938940501,0.723330665
FRS3,2.36E-05,0,0,1,0,1,0,2,18,2,6,0.763745032,0.421176509,0.930878811,0.93894308,0.723439018
CHML,2.26E-05,0,0,2,0,0,0,2,9,5,4,0.77285483,0.421173825,0.93011934,0.938945658,0.723450761
ZNF615,2.51E-05,0,1,5,1,0,0,2,20,5,3,0.751271554,0.421163889,0.931836171,0.938948236,0.723465172
TMEM151B,2.26E-05,0,0,0,0,0,0,0,0,0,0,0.772418362,0.421111783,0.930154851,0.938950814,0.723590072
SNX27,2.28E-05,0,0,2,0,0,0,1,5,1,3,0.770849292,0.421071661,0.930305463,0.938953392,0.723640246
KLHL24,2.37E-05,0,0,0,0,0,0,2,6,0,3,0.763314154,0.421068296,0.930918176,0.93895597,0.723657326
GDF6,2.36E-05,0,0,0,0,0,0,3,3,1,1,0.764089925,0.421013496,0.930850125,0.938958547,0.723759274
SH2D5,2.27E-05,0,0,1,0,1,0,2,18,5,3,0.771546228,0.420974299,0.930227541,0.938961124,0.723846277
ESX1,2.26E-05,0,0,0,0,0,0,0,0,0,0,0.772156609,0.42096908,0.930173519,0.938963701,0.723901254
TYMP,2.25E-05,0,0,2,0,0,0,4,19,5,2,0.77311684,0.420944042,0.930109983,0.938966278,0.723931145
ADRA2C,2.36E-05,0,0,0,0,0,0,2,3,0,2,0.764003686,0.420941253,0.930855507,0.938968854,0.723945556
MAP4K5,2.26E-05,0,0,2,0,0,0,3,17,5,1,0.77285483,0.420929826,0.930121211,0.93897143,0.723969576
PHF12,4.80E-05,0,0,1,0,0,0,3,16,3,11,0.581775033,0.420920295,0.937983103,0.938974005,0.723972778
CREB5,2.28E-05,0,0,0,0,2,0,1,6,1,0,0.771023462,0.420913176,0.930270264,0.93897658,0.723990392
BUB1,3.60E-05,0,0,1,1,2,0,5,9,7,3,0.664559559,0.420897127,0.935959132,0.938979155,0.724001068
DDX53,2.38E-05,0,0,0,0,0,0,0,5,0,0,0.762195108,0.420887284,0.931010872,0.938981729,0.724043235
LANCL2,2.29E-05,0,0,0,0,2,0,1,8,1,1,0.770153041,0.420874898,0.930353514,0.938984304,0.724070456
MDC1,7.45E-05,0,1,1,1,2,0,6,25,14,9,0.435976338,0.42083094,0.939715582,0.938986878,0.72410355
ATG14,2.35E-05,0,0,0,0,0,0,6,12,2,0,0.764348706,0.420815602,0.930835765,0.938989451,0.724175607
SPSB3,2.36E-05,0,0,0,0,0,0,3,7,0,1,0.763917458,0.420789467,0.930868059,0.938992025,0.724223646
EXOC3L2,2.28E-05,0,0,1,0,1,0,3,10,2,5,0.771110563,0.42077522,0.930262841,0.938994598,0.724248732
USP1,2.35E-05,0,0,0,0,0,0,3,15,6,1,0.765039254,0.420746187,0.930796233,0.938997171,0.724270083
ACVR1B,2.36E-05,0,0,0,0,0,0,1,1,0,0,0.763400309,0.420723683,0.930909237,0.938999743,0.724306378
NAA30,2.37E-05,0,0,0,0,0,0,0,1,0,0,0.762969642,0.420706995,0.930946749,0.939002315,0.724347478
DACH2,2.36E-05,0,0,0,0,0,0,2,5,0,0,0.763572649,0.420703766,0.930891346,0.939004887,0.724368828
ACSL4,2.37E-05,0,0,0,0,0,0,1,1,0,0,0.763314154,0.420676202,0.930911025,0.939007459,0.724408327
EGFR,6.06E-05,0,0,2,1,0,0,9,27,9,5,0.506750446,0.420648954,0.939094766,0.93901003,0.724451027
TIGD1,2.27E-05,0,0,0,0,0,0,0,0,0,0,0.771546228,0.420636308,0.930231259,0.939012601,0.724504404
PLAGL2,2.36E-05,0,0,0,0,0,0,1,4,2,1,0.763658836,0.420588568,0.930885975,0.939015172,0.724611156
MTMR3,4.82E-05,0,0,1,0,0,0,10,13,8,10,0.580493973,0.420555826,0.938001403,0.939017743,0.724677876
SPG20,2.35E-05,0,0,0,0,0,0,6,18,2,4,0.764262435,0.420530186,0.930841151,0.939020313,0.724709901
FLVCR2,2.38E-05,0,0,0,0,0,0,0,3,0,0,0.762195108,0.42050781,0.931016204,0.939022883,0.72477929
SLC22A1,2.84E-05,0,3,7,1,1,0,6,19,3,7,0.723317404,0.420469921,0.933656674,0.939025453,0.724838537
WDR13,2.27E-05,0,0,0,0,0,0,0,0,0,0,0.771197675,0.420446282,0.930259128,0.939028023,0.724950093
DENND4A,6.07E-05,0,1,2,0,0,0,5,14,2,2,0.506198789,0.420313384,0.93909972,0.939030593,0.725112357
RAI2,2.28E-05,0,0,0,0,0,0,0,0,0,0,0.770762223,0.42020888,0.930312863,0.939033163,0.725303443
GPR26,2.38E-05,0,0,0,0,0,0,1,1,0,1,0.762453191,0.420208208,0.930980622,0.939035732,0.725324259
IP6K1,2.37E-05,0,0,0,0,0,0,2,3,0,0,0.762711369,0.420203258,0.930961018,0.939038301,0.725356819
ASPN,1.29E-05,0,1,3,0,1,0,0,0,1,0,0.86243346,0.42004755,0.914359977,0.939040871,0.725563384
FRMD7,2.38E-05,0,0,0,0,0,0,0,1,0,0,0.761765181,0.420042846,0.93104816,0.93904344,0.725625834
NUFIP2,2.38E-05,0,0,0,0,0,0,1,6,1,2,0.761765181,0.420030561,0.93105348,0.939046009,0.725653056
SLC1A2,2.38E-05,0,0,0,0,0,0,2,4,0,0,0.762281125,0.419960272,0.931005538,0.939048578,0.725759274
AIM2,1.29E-05,0,1,4,0,0,0,1,4,0,0,0.862040036,0.419957932,0.914457276,0.939051146,0.725765679
SLC39A12,2.29E-05,0,0,2,0,0,0,5,10,3,1,0.769544382,0.419952256,0.930425328,0.939053714,0.725768882
NTN3,2.59E-05,0,0,1,0,1,0,6,15,16,5,0.743860393,0.419947643,0.932383587,0.939056282,0.725773686
SNRNP35,1.29E-05,0,1,4,0,0,0,2,8,1,2,0.862236723,0.419929864,0.914432997,0.939058849,0.725800907
UNC93B1,2.38E-05,0,0,0,0,0,0,2,6,0,0,0.762023106,0.419919753,0.931030414,0.939061416,0.725833467
MCMBP,2.37E-05,0,0,0,0,0,0,2,4,2,2,0.76253924,0.419908279,0.930973495,0.939063983,0.725860689
